Region,Country,Name,Style,Substyle,IBU,Rating,ABV,Price,Volume_Per_Container,Bottles_Per_Unit
CANADA,CANADA,VANCOUVER ISLAND - HIGH TRAIL HONEY ALE,PALE ALE,AMERICAN BLONDE ALE,NA,3.39,5,11.99,0.341,6
ASIA,KOREA - SOUTH,CASS,LAGER,AMERICAN ADJUNCT,NA,2.6,4.5,11.3,0.33,6
CANADA,CANADA,TIN WHISTLE - SCORPION DOUBLE IPA,IPA,IMPERIAL IPA,85,3.35,8,5.6,0.65,1
CANADA,CANADA,PARALLEL 49 - HOPARAZZI INDIA PALE LAGER,LAGER,INDIA PALE LAGER,50,3.51,6,12.5,0.341,6
CANADA,CANADA,FERNIE - GRIZ PALE ALE CAN,PALE ALE,AMERICAN PALE ALE,35,3.34,5,11,0.355,6
EUROPE,GERMANY,HOFBRAU ORIGINAL,LAGER,HELLES,24,3.54,5.1,3.1,0.5,1
CANADA,CANADA,MOON UNDER WATER - CREEPY UNCLE DUNKEL,LAGER,DUNKEL,18,3.6,5.4,5.58,0.65,1
EUROPE,GERMANY,HOLSTEN FESTBOCK TALL CAN,BOCK,TRADITIONAL,NA,3.23,7,2.5,0.5,1
CANADA,CANADA,PARALLEL 49 - POUND STERLING FRESH HOPPED PILSNER,LAGER,PILSNER,35,3.5,5,6.5,0.65,1
CANADA,CANADA,CENTRAL CITY - RED RACER INDIA PALE ALE CAN,IPA,AMERICAN IPA,80,3.69,6.5,12.95,0.355,6
EUROPE,GERMANY,WARSTEINER PREMIUM DUNKEL TALL CAN,LAGER,DUNKEL,28,3.62,4.8,2.25,0.5,1
CANADA,CANADA,FERNIE - WHAT THE HUCK HUCKLEBERRY WHEAT ALE,WHEAT,FRUIT BEER,15,3.5,5,5.25,0.65,1
CANADA,CANADA,OKANAGAN SPRING - 1516 BAVARIAN LAGER CAN,LAGER,HELLES,NA,3.28,5,22.95,0.355,12
EUROPE,UNITED KINGDOM,TETLEYS SMOOTH FLOW TALL CAN,PALE ALE,ENGLISH BITTER,NA,2.81,4.4,10.99,0.44,4
EUROPE,BELGIUM,HOEGAARDEN,WHEAT,BELGIAN WITBIER,15,3.58,5,14.79,0.33,6
USA,UNITED STATES OF AMERICA,COLT 45 MALT LIQUOR CAN,MALT,MALT,6,2.28,8,8.15,0.355,6
CANADA,CANADA,CENTRAL CITY - RED RACER PALE ALE CAN,IPA,AMERICAN IPA,80,3.69,5,11.95,0.355,6
CANADA,CANADA,STROH CANADA - RAINIER CAN,LAGER,AMERICAN ADJUNCT,10,2.92,5,19.99,0.355,15
