"","Region","Country","Name","Style","Substyle","IBU","Rating","ABV","Price","Price_L","Value_metric"
"188","CANADA","CANADA","LABATT - ROLLING ROCK CAN","LAGER","AMERICAN ADJUNCT","5",2.78,4.5,12.49,5.86,0.474091273018415
"189","CANADA","CANADA","STANLEY PARK - WINDSTORM TALL CAN","PALE ALE","AMERICAN PALE ALE","35",3.53,5.7,2.45,4.9,0.720408163265306
"190","CANADA","CANADA","RUSSELL - A WEE ANGRY SCOTCH ALE","STRONG ALE","SCOTCH ALE","30",3.69,6.5,5.95,9.15,0.403109243697479
"191","EUROPE","ITALY","MORETTI","LAGER","PALE LAGER","12",3.1,4.6,12.95,6.54,0.473976833976834
"192","CANADA","CANADA","WHISTLER - WINTER DUNKEL","WHEAT","DUNKELWEIZEN","24",3.71,5,5.75,8.85,0.419391304347826
"193","USA","UNITED STATES OF AMERICA","NEW BELGIUM - FAT TIRE AMBER ALE","RED ALE","AMERICAN AMBER","22",3.58,5.2,14.5,6.81,0.525889655172414
"194","CANADA","CANADA","BOWEN ISLAND - TWISTED TRAIL EXTRA PALE ALE","PALE ALE","AMERICAN PALE ALE",NA,3.04,5,8.89,4.17,0.728368953880765
"195","CANADA","CANADA","BIG SURF - LAID BACK LAGER CAN","LAGER","PALE LAGER",NA,2.9,5,8.29,3.89,0.745114595898673
"196","CANADA","CANADA","PHILLIPS - SLIPSTREAM CREAM ALE","HYBRID","CREAM ALE",NA,3.5,5,11.99,5.86,0.597247706422018
"197","CANADA","CANADA","FERNIE - FIRST TRAX  BROWN ALE CAN","BROWN ALE","ENGLISH BROWN ALE","14",3.49,5,11.95,5.61,0.622066945606695
"198","CANADA","CANADA","MICHELOB - ULTRA SLIM CAN","LAGER","AMERICAN LIGHT LAGER","10",2.38,4,21.99,5.16,0.46106412005457
"199","EUROPE","DENMARK","CARLSBERG TALL CAN","LAGER","PALE LAGER","8",2.973,5,2.5,5,0.5946
"200","EUROPE","GERMANY","HOLSTEN PREMIUM TALL CAN","LAGER","HELLES",NA,2.93,5.2,2.25,4.5,0.651111111111111
"201","CANADA","CANADA","MT BEGBIE - TALL TIMBER ALE CAN","BROWN ALE","ENGLISH BROWN ALE","20",3.58,5.2,11.75,5.52,0.648970212765957
"202","ASIA","CHINA","TSINGTAO","LAGER","PALE LAGER","25",2.86,4.5,11.45,5.78,0.49456768558952
"203","ASIA","TURKEY","EFES PILSENER TURKEY","LAGER","PILSNER",NA,2.92,5,11.99,6.06,0.482201834862385
